index	#1 Label	#2 String	#2 String
1	1,1,3	Putin reappears on television amid rumours his 'girlfriend' is about 2 give birth   @Scofield_Fx|||||@maNkomo16 @Scofield_Fx Mazaltov!  They could call the baby Ukrainia.|||||@ConorMWalsh 😂😂😂 @Scofield_Fx
2	1,0,1,1	Coup in #Russia? Good article by @Forbes.  #RamzanKadyrov #Putin #putindead|||||#RamzanKadyrov- A Sunni Muslim Russian/Chechen Ultranationalist w/ ties to the "United Russia" party(Putinism) &amp; #Russia's FSB(current KGB).|||||US Embassy #Moscow cables talk of an operation planned by "dissidents" in #Russia to "overthrow Putin".  #RussiaCoup|||||So if #RamzanKadyrov had #BorisNemtsov assassinated was it at the direction of Putin or is/was Putin at the direction of FSB/Kadyrov? Hmm
3	1,3,1,0,3,3,2,3,3,1	Unformed Russian Embassy staff in London have left for Russia  Rumours Putin HAS DIED!  via @ShaunyNews #PutinDead?|||||@ShaunyNews @batchelorshow Did he die during Childbirth?|||||@AdaptToReality @batchelorshow Yeah|||||@AdaptToReality @batchelorshow Keep in mind "Unconfirmed" Rumours...I stated nothing. But I am on the edge of my seat awaiting a call|||||@ShaunyNews @batchelorshow Hopefully he got hold of some American CIA provocateurs and sabatoger's in Moscow red handed for killing Nemtsov.|||||@haaker66 @batchelorshow Military Coup to overthrow Putin my 1st thought buddy. Serious rumours Putin is Dead or Critical. Trying 2 source|||||@ShaunyNews where you getting the rumours from|||||@ShaunyNews hey loved those cool utube vids you put together!|||||@captaincorri Many sources and you tube...  Where is Vladimir Putin?  Latest one. All links are in both articles|||||@TAW3333 Emm I never, I tagged the user. Not my video's Grace. I am "ShaunyNews" I share news. I am just sharing what I am being sent.
4	1,3,1,3,2,3,3,3,3,3,3	Hoppla! @L0gg0l: Swiss Rumors: Putin absence due to girlfriend Alina giving birth in Ticino|||||@russian_market @L0gg0l Mr Putin building the nation is great. Good country man and best president|||||“@russian_market: Swiss Rumors:Putin absence due to girlfriendAlina giving birth  ” @fancy_work|||||@russian_market @L0gg0l of course,keep dreaming|||||@russian_market have you read this?  Is Andrei Illarionov a reliable source in your opinion?|||||@russian_market @L0gg0l At least its not Merkel so we would have a problem.|||||@russian_market @L0gg0l Given the state of Russian medical facilities, makes sense she would run to Switzerland. Not very patriotic, though.|||||@russian_market @FerroTV @L0gg0l Welcome Sir!|||||Both have proved their flexibility! @russian_market @ChristophHeer52 @L0gg0l|||||@russian_market @ChristophHeer52 @L0gg0l My money still #SecurityConcerns #Nemstov could have shaken security #DrEd|||||@russian_market @L0gg0l Makes no sense though. Why go to Switzerland for that? Too much hassle.
5	1,3,0,3,2,3,3,0	Very good on #Putin coup by @CoalsonR: Three Scenarios For A Succession In Russia  via @RFERL|||||@andersostlund @CoalsonR @RFERL uhmmm botox sesions far more likely anyway|||||@andersostlund @CoalsonR @RFERL And how Europe will behave in such a case?|||||Three Scenarios For A Succession In #Russia by @CoalsonR  via @RFERL  v @andersostlund #Putin|||||@andersostlund What are your thoughts on #WhereIsPutin?|||||@tulipgrrl Either a simple flue, more serious illness or serious domestic political problems.|||||@andersostlund @tulipgrrl @CoalsonR @RFERL Putin'll be made a tsar (and the newborn an heir). Back 2 serfdom as Zorkin suggested.|||||@andersostlund @tulipgrrl 😷
6	1,3,3,3,3,3	Was Vladimir Putin netralized by an internal coup? Or maybe he's vacationing in Harper's closet:   #LookingForNarnia|||||@PatOndabak I'm going with neutralized and their entire gov aQuake &amp; pissing selves w fear. Night of long knives gonna take months ;o)))|||||@PatOndabak or maybe he just needs a break from all the shit going on in this world.. I know I do!|||||@PatOndabak It is disconcerting that the man with the codes to the worlds largest nuclear arsenal is missing. I suspect an unhappy oligarch.|||||@patondabak Maybe, just maybe… he's huddling with best minds/top advisors about how to prevent #USA #UK #NATO #EU #Canada threat of WWIII ?|||||@PatOndabak Putin has gone 1 betterBehold the Russian secure officeActor portrayed even
7	0,1,3,3,1,3,3,1	Putin reappears on TV amid claims he is unwell and under threat of coup|||||@MailOnline never !!|||||@MailOnline|||||@MailOnline selling inbetweeners 2 car for comic relief please rt!! ? #RND #rednoseday|||||@MailOnline that looks like a double to me, dear.|||||@MailOnline whole lot of talk. He was probably on a hunting trip|||||@MailOnline haha all he wanted was a week off! #putindead|||||@MailOnline Lol coup? That's when you know you people are just making things up. #westernfantasy
8	1,3,3,0,3,2	Coup? RT @jimgeraghty: Rumors all Russian military attaches at embassy in London have returned to Moscow:|||||@irishspy @jimgeraghty Reset.|||||@karmacamilleon1 @irishspy @jimgeraghty|||||@irishspy Russian Emb denies. RT @RussianEmbassy  13 min@Marcus_Reynolds This is not true.// I have more time for speculation@jimgeraghty|||||@karmacamilleon1 The meme makers are letting us down on this! We should see that red button ! // @irishspy @jimgeraghty|||||@irishspy @jimgeraghty Or preparing to launch yet another war?
9	3,3,2,1,3,1	This appears to be the original source of the Putin/Kabayeva/Swiss clinic rumour|||||@BBCDanielS plus direct info from the 'fields'!|||||@BBCDanielS But why a Swiss clinic? Why not give birth in Russia? What am I missing here?|||||@BBCDanielS @EllenBarryNYT Well, Blick is a tabloid, so I wouldn't necessarily believe everything they say :-)|||||@BBCDanielS It is difficult not to think of "Rosemary's Baby" in this instance.|||||@BBCDanielS What makes us think the baby story may be true? - The Kremlin denied it!@RussiaDenies @DarthPutinKGB
10	1,3,0,3,3,2,3,3,3	OMG. #Prince rumoured to be performing in Toronto today. Exciting!|||||@TheSocialCTV Yes indeed !|||||@TheSocialCTV I saw Prince in concert 2 years ago in halifax and honestly, was the most boring concert ever! Was so disappointed|||||@TheSocialCTV Love Prince, he was my first concert!! #PRINCEWATCH|||||@TheSocialCTV #birthdaygirl #prince  it's my Birthday ohhhh I would love to see my all time fav ❤️❤️❤️please get me in!|||||@TheSocialCTV Where??? #Prince|||||@BabiesBaubles @TheSocialCTV Massey Hall tix 10$? #Prince|||||@akrred @TheSocialCTV That's insane! I love Prince but there's no way I can get babysitting so last minute :(|||||@TheSocialCTV I want tickets so bad!
